S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
18,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B03,R88009234,,10_6_TNF_WT_Cre_003,Cultured Cells,9.7,27.1,2,1.1,96.9,Stranded,7.4,0.6,B3,200,LP 13,21.2,488,497,LP 13,B3,328.02,1.55,A2,3.86,20,UDB018,PE150,40,40.3,1.01,E200015101,,
19,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C03,R88009235,,10_6_TNF_D3a_EV_001,Cultured Cells,9.6,16.5,2.4,0.8,96.7,Stranded,8,0,C3,132,LP 13,20.6,483,491,LP 13,C3,324.06,1.57,A2,3.86,20,UDB019,PE150,40,40.5,1.01,E200015101,,
20,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E03,R88009237,,10_6_TNF_D3a_EV_003,Cultured Cells,9.5,27.2,2.2,1.6,96.3,Stranded,7.3,0.7,D3,200,LP 13,13,481,491,LP 13,D3,324.06,2.49,A2,3.86,20,UDB020,PE150,40,130.8,3.27,E200015101,,
21,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F03,R88009238,,10_6_TNF_D3a_Cre_001,Cultured Cells,9.2,41.3,2.2,1.2,97,Stranded,4.8,3.2,E3,200,LP 13,48.2,485,491,LP 13,E3,324.06,0.67,A3,3.34,18.3,UDB021,PE150,40,47.9,1.2,E200015101,,
22,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G03,R88009239,,10_6_TNF_D3a_Cre_002,Cultured Cells,9.7,18.4,2.1,0.3,95.4,Stranded,8,0,F3,147.2,LP 13,24.4,488,493,LP 13,F3,325.38,1.33,A3,3.34,18.3,UDB022,PE150,40,47.8,1.2,E200015101,,
23,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H03,R88009240,,10_6_TNF_D3a_Cre_003,Cultured Cells,9.4,22.4,2.1,0.4,95.3,Stranded,8,0,G3,179.4,LP 13,31.4,467,493,LP 13,G3,325.38,1.04,A3,3.34,18.3,UDB023,PE150,40,60.2,1.51,E200015101,,
24,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A04,R88009241,,100_6_TNF_WT_EV_001,Cultured Cells,9.1,41.4,2.1,0.3,96.2,Stranded,4.8,3.2,H3,200,LP 13,41.4,467,469,LP 13,H3,309.54,0.75,A3,3.34,18.3,UDB024,PE150,40,60.5,1.51,E200015101,,
25,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B04,R88009242,,100_6_TNF_WT_EV_002,Cultured Cells,8.8,66,2.1,1,96.7,Stranded,3,5,A4,200,LP 13,23.8,462,466,LP 13,A4,307.56,1.29,A3,3.34,18.3,UDB025,PE150,40,52.4,1.31,E200015101,,
26,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C04,R88009243,,100_6_TNF_WT_EV_003,Cultured Cells,9.3,48.6,2.2,1.8,96.9,Stranded,4.1,3.9,B4,200,LP 13,37.4,482,495,LP 13,B4,326.7,0.87,A3,3.34,18.3,UDB026,PE150,40,51.4,1.28,E200015101,,
27,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D04,R88009244,,100_6_TNF_WT_Cre_001,Cultured Cells,9.2,64.3,2.1,1.6,96.8,Stranded,3.1,4.9,C4,200,LP 13,35.2,481,485,LP 13,C4,320.1,0.91,A3,3.34,18.3,UDB027,PE150,40,57.6,1.44,E200015101,,
28,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E04,R88009245,,100_6_TNF_WT_Cre_002,Cultured Cells,9.1,62.5,2.1,1.6,95.8,Stranded,3.2,4.8,D4,200,LP 13,27.4,476,482,LP 13,D4,318.12,1.16,A3,3.34,18.3,UDB028,PE150,40,49,1.23,E200015101,,
29,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F04,R88009246,,100_6_TNF_WT_Cre_003,Cultured Cells,8.1,59.4,2.2,0.2,92.8,Stranded,3.4,4.6,E4,200,LP 13,59.6,449,461,LP 13,E4,304.26,0.51,A3,3.34,18.3,UDB029,PE150,40,56.3,1.41,E200015101,,
30,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G04,R88009247,,100_6_TNF_D3a_EV_001,Cultured Cells,9.3,40.7,2.2,0.6,96.6,Stranded,4.9,3.1,F4,200,LP 13,45.2,476,480,LP 13,F4,316.8,0.7,A3,3.34,18.3,UDB030,PE150,40,56.3,1.41,E200015101,,
31,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H04,R88009248,,100_6_TNF_D3a_EV_002,Cultured Cells,9.4,44.6,2.1,1.9,96.5,Stranded,4.5,3.5,G4,200,LP 13,37,476,494,LP 13,G4,326.04,0.88,A4,4.31,18.4,UDB031,PE150,40,49.8,1.25,E200015101,,
32,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A05,R88009249,,100_6_TNF_D3a_EV_003,Cultured Cells,9.5,37.2,2.1,1.3,97,Stranded,5.4,2.6,H4,200,LP 13,39.6,452,466,LP 13,H4,307.56,0.78,A4,4.31,18.4,UDB032,PE150,40,35.8,0.89,E200015101,,
33,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B05,R88009250,,100_6_TNF_D3a_Cre_001,Cultured Cells,9.5,29.1,2,0.4,96.1,Stranded,6.9,1.1,A5,200,LP 13,29.4,467,470,LP 13,A5,310.2,1.06,A4,4.31,18.4,UDB033,PE150,40,39.1,0.98,E200015101,,
34,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C05,R88009251,,100_6_TNF_D3a_Cre_002,Cultured Cells,9.5,28.2,2.3,0.8,96.7,Stranded,7.1,0.9,B5,200,LP 13,29.8,490,499,LP 13,B5,329.34,1.11,A4,4.31,18.4,UDB034,PE150,40,41.3,1.03,E200015101,,
35,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D05,R88009252,,100_6_TNF_D3a_Cre_003,Cultured Cells,9.5,25.7,2.2,0.4,96.3,Stranded,7.8,0.2,C5,200,LP 13,26.8,488,491,LP 13,C5,324.06,1.21,A4,4.31,18.4,UDB035,PE150,40,46,1.15,E200015101,,
36,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E05,R88009253,,10_24_TNF_WT_EV_001,Cultured Cells,9.4,54.6,2.2,1.2,97.2,Stranded,3.7,4.3,D5,200,LP 13,30.6,470,474,LP 13,D5,312.84,1.02,A4,4.31,18.4,UDB036,PE150,40,46.2,1.15,E200015101,,
37,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F05,R88009254,,10_24_TNF_WT_EV_002,Cultured Cells,9.4,55.5,2.2,1,97.4,Stranded,3.6,4.4,E5,200,LP 13,30.4,475,478,LP 13,E5,315.48,1.04,A4,4.31,18.4,UDB037,PE150,40,47.1,1.18,E200015101,,
38,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G05,R88009255,,10_24_TNF_WT_EV_003,Cultured Cells,9.5,56.3,2.1,1,96.9,Stranded,3.6,4.4,F5,200,LP 13,34.6,477,477,LP 13,F5,314.82,0.91,A4,4.31,18.4,UDB038,PE150,40,46.6,1.16,E200015101,,
39,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H05,R88009256,,10_24_TNF_WT_Cre_001,Cultured Cells,9.5,57.4,2.1,0.5,96.7,Stranded,3.5,4.5,G5,200,LP 13,39.2,486,495,LP 13,G5,326.7,0.83,A4,4.31,18.4,UDB039,PE150,40,61.5,1.54,E200015101,,
40,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A06,R88009257,,10_24_TNF_WT_Cre_002,Cultured Cells,9.5,57.1,2.1,1.2,96.6,Stranded,3.5,4.5,H5,200,LP 13,36.2,461,473,LP 13,H5,312.18,0.86,A4,4.31,18.4,UDB040,PE150,40,56.8,1.42,E200015101,,
41,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B06,R88009258,,10_24_TNF_WT_Cre_003,Cultured Cells,9.6,59.7,2,2,96.5,Stranded,3.4,4.6,A6,200,LP 13,33.4,482,484,LP 13,A6,319.44,0.96,A5,2.84,18.9,UDB041,PE150,40,58,1.45,E200015101,,
42,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C06,R88009259,,10_24_TNF_D3a_EV_001,Cultured Cells,9.5,55.9,2.3,0.8,96.9,Stranded,3.6,4.4,B6,200,LP 13,37.6,486,506,LP 13,B6,333.96,0.89,A5,2.84,18.9,UDB042,PE150,40,58.1,1.45,E200015101,,
43,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D06,R88009260,,10_24_TNF_D3a_EV_002,Cultured Cells,9.6,53.2,2.1,0.7,96.9,Stranded,3.8,4.2,C6,200,LP 13,50.8,485,494,LP 13,C6,326.04,0.64,A5,2.84,18.9,UDB043,PE150,40,45.9,1.15,E200015101,,
44,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E06,R88009261,,10_24_TNF_D3a_EV_003,Cultured Cells,9.5,58.2,2.1,1.3,96.3,Stranded,3.4,4.6,D6,200,LP 13,33.8,484,494,LP 13,D6,326.04,0.96,A5,2.84,18.9,UDB044,PE150,40,29.7,0.74,E200015101,,
45,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F06,R88009262,,10_24_TNF_D3a_Cre_001,Cultured Cells,9.6,59,2.1,2.2,96.3,Stranded,3.4,4.6,E6,200,LP 13,31.2,488,499,LP 13,E6,329.34,1.06,A5,2.84,18.9,UDB045,PE150,40,54.1,1.35,E200015101,,
46,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G06,R88009263,,10_24_TNF_D3a_Cre_002,Cultured Cells,9.5,58.8,2.1,1.7,97.1,Stranded,3.4,4.6,F6,200,LP 13,31,486,480,LP 13,F6,316.8,1.02,A5,2.84,18.9,UDB046,PE150,40,50.1,1.25,E200015101,,
47,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H06,R88009264,,10_24_TNF_D3a_Cre_003,Cultured Cells,8.6,60.4,2.1,1.2,94.8,Stranded,3.3,4.7,G6,200,LP 13,24,480,488,LP 13,G6,322.08,1.34,A5,2.84,18.9,UDB047,PE150,40,62.8,1.57,E200015101,,
48,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A07,R88009265,,100_24_TNF_WT_EV_001,Cultured Cells,9.6,57.9,2.1,1.3,96.5,Stranded,3.5,4.5,H6,200,LP 13,30.8,476,470,LP 13,H6,310.2,1.01,A5,2.84,18.9,UDB048,PE150,40,56.2,1.41,E200015101,,
49,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B07,R88009266,,100_24_TNF_WT_EV_002,Cultured Cells,9.6,57.6,2,1.4,97.4,Stranded,3.5,4.5,A7,200,LP 13,36.2,485,493,LP 13,A7,325.38,0.9,A5,2.84,18.9,UDB049,PE150,40,62.7,1.57,E200015101,,
50,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C07,R88009267,,100_24_TNF_WT_EV_003,Cultured Cells,9.6,60.9,2.2,2.2,97.4,Stranded,3.3,4.7,B7,200,LP 13,21.6,485,493,LP 13,B7,325.38,1.51,A5,2.84,18.9,UDB050,PE150,40,38.5,0.96,E200015101,,
51,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D07,R88009268,,100_24_TNF_WT_Cre_001,Cultured Cells,9.6,53.1,2.1,1.7,97.2,Stranded,3.8,4.2,C7,200,LP 13,23.2,485,480,LP 13,C7,316.8,1.37,A6,3.43,19,UDB051,PE150,40,49.1,1.23,E200015101,,
52,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E07,R88009269,,100_24_TNF_WT_Cre_002,Cultured Cells,9.6,53.4,2.1,1.1,96.2,Stranded,3.7,4.3,D7,200,LP 13,22.6,488,494,LP 13,D7,326.04,1.44,A6,3.43,19,UDB052,PE150,40,63.9,1.6,E200015101,,
53,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F07,R88009270,,100_24_TNF_WT_Cre_003,Cultured Cells,9.6,55.2,2.1,2.1,97.2,Stranded,3.6,4.4,E7,200,LP 13,32.4,482,493,LP 13,E7,325.38,1,A6,3.43,19,UDB053,PE150,40,44.9,1.12,E200015101,,
54,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G07,R88009271,,100_24_TNF_D3a_EV_001,Cultured Cells,9.6,49.2,2.1,1.1,96.9,Stranded,4.1,3.9,F7,200,LP 13,40.2,477,500,LP 13,F7,330,0.82,A6,3.43,19,UDB054,PE150,40,59.1,1.48,E200015101,,
55,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H07,R88009272,,100_24_TNF_D3a_EV_002,Cultured Cells,9.6,55.3,2.1,1.1,97.3,Stranded,3.6,4.4,G7,200,LP 13,14.9,502,525,LP 13,G7,346.5,2.33,A6,3.43,19,UDB055,PE150,40,44.6,1.11,E200015101,,
56,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A08,R88009273,,100_24_TNF_D3a_EV_003,Cultured Cells,9.6,50.9,2,2.3,96.9,Stranded,3.9,4.1,H7,200,LP 13,39.4,464,478,LP 13,H7,315.48,0.8,A6,3.43,19,UDB056,PE150,40,59,1.48,E200015101,,
57,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B08,R88009274,,100_24_TNF_D3a_Cre_001,Cultured Cells,9.7,47.3,2.1,0.7,96.8,Stranded,4.2,3.8,A8,200,LP 13,34,487,489,LP 13,A8,322.74,0.95,A6,3.43,19,UDB057,PE150,40,52.2,1.31,E200015101,,
58,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C08,R88009275,,100_24_TNF_D3a_Cre_002,Cultured Cells,9.6,53.2,2.1,1.7,97.3,Stranded,3.8,4.2,B8,200,LP 13,31,495,512,LP 13,B8,337.92,1.09,A6,3.43,19,UDB058,PE150,40,46.1,1.15,E200015101,,
59,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D08,R88009276,,100_24_TNF_D3a_Cre_003,Cultured Cells,9.5,53.6,2.1,1.4,97.2,Stranded,3.7,4.3,C8,200,LP 13,38,455,466,LP 13,C8,307.56,0.81,A6,3.43,19,UDB059,PE150,40,52.9,1.32,E200015101,,
60,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E08,R88009277,,10_72_TNF_WT_EV_001,Cultured Cells,9.5,59.8,2.1,1.2,95.9,Stranded,3.3,4.7,D8,200,LP 13,39.4,475,489,LP 13,D8,322.74,0.82,A6,3.43,19,UDB060,PE150,40,43.1,1.08,E200015101,,
61,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F08,R88009278,,10_72_TNF_WT_EV_002,Cultured Cells,9.5,60.2,2.1,0.9,96,Stranded,3.3,4.7,E8,200,LP 13,36.4,479,484,LP 13,E8,319.44,0.88,A7,3.06,19.1,UDB061,PE150,40,55.4,1.39,E200015101,,
62,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G08,R88009279,,10_72_TNF_WT_EV_003,Cultured Cells,9.3,60.3,2.1,1,96.6,Stranded,3.3,4.7,F8,200,LP 13,36.6,485,508,LP 13,F8,335.28,0.92,A7,3.06,19.1,UDB062,PE150,40,46.1,1.15,E200015101,,
63,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H08,R88009280,,10_72_TNF_WT_Cre_001,Cultured Cells,9.5,62.5,2.1,0.7,96.7,Stranded,3.2,4.8,G8,200,LP 13,38.6,477,494,LP 13,G8,326.04,0.84,A7,3.06,19.1,UDB063,PE150,40,57.2,1.43,E200015101,,
64,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A09,R88009281,,10_72_TNF_WT_Cre_002,Cultured Cells,9.5,61,2.1,0.5,95.7,Stranded,3.3,4.7,H8,200,LP 13,36.8,462,461,LP 13,H8,304.26,0.83,A7,3.06,19.1,UDB064,PE150,40,62.2,1.56,E200015101,,
65,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B09,R88009282,,10_72_TNF_WT_Cre_003,Cultured Cells,9.5,61.8,2,1.6,96.9,Stranded,3.2,4.8,A9,200,LP 13,30.4,494,514,LP 13,A9,339.24,1.12,A7,3.06,19.1,UDB065,PE150,40,51.8,1.3,E200015101,,
66,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C09,R88009283,,10_72_TNF_D3a_EV_001,Cultured Cells,9.4,60.3,2.2,0.9,96.8,Stranded,3.3,4.7,B9,200,LP 13,31.8,487,499,LP 13,B9,329.34,1.04,A7,3.06,19.1,UDB066,PE150,40,42.9,1.07,E200015101,,
67,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D09,R88009284,,10_72_TNF_D3a_EV_002,Cultured Cells,9.4,57.9,2.1,0.5,96.4,Stranded,3.5,4.5,C9,200,LP 13,44.2,490,496,LP 13,C9,327.36,0.74,A7,3.06,19.1,UDB067,PE150,40,52.2,1.31,E200015101,,
68,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E09,R88009285,,10_72_TNF_D3a_EV_003,Cultured Cells,9.5,60.3,2.1,0.3,95.6,Stranded,3.3,4.7,D9,200,LP 13,24.2,478,472,LP 13,D9,311.52,1.29,A7,3.06,19.1,UDB068,PE150,40,45.8,1.14,E200015101,,
69,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F09,R88009286,,10_72_TNF_D3a_Cre_001,Cultured Cells,9.5,59,2.1,1.4,96.3,Stranded,3.4,4.6,E9,200,LP 13,27,496,504,LP 13,E9,332.64,1.23,A7,3.06,19.1,UDB069,PE150,40,48,1.2,E200015101,,
70,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G09,R88009287,,10_72_TNF_D3a_Cre_002,Cultured Cells,9.5,61.4,2.1,0.9,96.8,Stranded,3.3,4.7,F9,200,LP 13,33.6,487,511,LP 13,F9,337.26,1,A7,3.06,19.1,UDB070,PE150,40,49.9,1.25,E200015101,,
71,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,H09,R88009288,,10_72_TNF_D3a_Cre_003,Cultured Cells,9.5,61.3,2.1,1.3,96.7,Stranded,3.3,4.7,G9,200,LP 13,35.8,490,511,LP 13,G9,337.26,0.94,A8,2.44,24.9,UDB071,PE150,40,48.9,1.22,E200015101,,
72,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,A10,R88009289,,100_72_TNF_WT_EV_001,Cultured Cells,9.4,58.2,2.1,1.3,96.3,Stranded,3.4,4.6,H9,200,LP 13,60.8,476,480,LP 13,H9,316.8,0.52,A8,2.44,24.9,UDB072,PE150,40,54.9,1.37,E200015101,,
73,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,B10,R88009290,,100_72_TNF_WT_EV_002,Cultured Cells,9.2,61.1,2.1,0.3,95.6,Stranded,3.3,4.7,A10,200,LP 13,28.8,480,478,LP 13,A10,315.48,1.1,A8,2.44,24.9,UDB073,PE150,40,49.9,1.25,E200015101,,
74,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,C10,R88009291,,100_72_TNF_WT_EV_003,Cultured Cells,9.6,61.5,2.1,1,96.6,Stranded,3.3,4.7,B10,200,LP 13,34.2,485,499,LP 13,B10,329.34,0.96,A8,2.44,24.9,UDB074,PE150,40,38.9,0.97,E200015101,,
75,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,D10,R88009292,,100_72_TNF_WT_Cre_001,Cultured Cells,9.6,60.4,2.1,1.4,97,Stranded,3.3,4.7,C10,200,LP 13,31.6,488,498,LP 13,C10,328.68,1.04,A8,2.44,24.9,UDB075,PE150,40,46.2,1.15,E200015101,,
76,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,E10,R88009293,,100_72_TNF_WT_Cre_002,Cultured Cells,9.6,59.6,2.1,0.5,95.8,Stranded,3.4,4.6,D10,200,LP 13,32.6,484,478,LP 13,D10,315.48,0.97,A8,2.44,24.9,UDB076,PE150,40,39.5,0.99,E200015101,,
77,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,F10,R88009294,,100_72_TNF_WT_Cre_003,Cultured Cells,8.8,59.8,2.1,1.1,96.8,Stranded,3.3,4.7,E10,200,LP 13,27.8,486,489,LP 13,E10,322.74,1.16,A8,2.44,24.9,UDB077,PE150,40,59.4,1.49,E200015101,,
78,RNA_20240408_128,40M,Fastq,AWS,RNA Box 16,G10,R88009295,,100_72_TNF_D3a_EV_001,Cultured Cells,9,63.2,2.1,1,95.9,Stranded,3.2,4.8,F10,200,LP 13,26.4,487,495,LP 13,F10,326.7,1.24,A8,2.44,24.9,UDB078,PE150,40,32.6,0.81,E200015101,,
